student_id,date,status,attendance_percentage,attendance_level,ingestion_timestamp
STU00018,2024-01-26,excused,100.0,Excellent,2026-09-18 11:36:26.852843
STU00015,2024-01-06,excused,29.0,Poor,2026-09-18 11:36:26.852843
STU00096,2024-01-03,late,73.0,Fair,2026-09-18 11:36:26.852843
STU00020,2024-01-17,present,0.0,,2026-09-18 11:36:26.852843
STU00035,2024-01-22,present,0.0,,2026-09-18 11:36:26.852843
STU00078,2024-01-20,absent,0.0,,2026-09-18 11:36:26.852843
STU00027,2024-01-11,absent,0.0,,2026-09-18 11:36:26.852843
STU00092,2024-01-03,present,0.0,,2026-09-18 11:36:26.852843
STU00044,2024-01-27,present,100.0,Excellent,2026-09-18 11:36:26.852843
STU00088,2024-01-25,present,100.0,Excellent,2026-09-18 11:36:26.852843
STU00082,2024-01-08,excused,0.0,,2026-09-18 11:36:26.852843
STU00063,2024-01-08,excused,58.0,Fair,2026-09-18 11:36:26.852843
STU00033,2024-01-26,absent,100.0,Excellent,2026-09-18 11:36:26.852843
STU00007,2024-01-07,late,41.0,Poor,2026-09-18 11:36:26.852843
STU00012,2024-01-05,present,0.0,,2026-09-18 11:36:26.852843
STU00055,2024-01-02,present,0.0,,2026-09-18 11:36:26.852843
STU00036,2024-01-08,absent,52.0,Fair,2026-09-18 11:36:26.852843
STU00006,2024-01-16,present,100.0,Excellent,2026-09-18 11:36:26.852843
STU00001,2024-01-20,present,0.0,,2026-09-18 11:36:26.852843
STU00043,2024-01-28,absent,0.0,,2026-09-18 11:36:26.852843
STU00099,2024-01-25,late,97.0,Excellent,2026-09-18 11:36:26.852843
STU00095,2024-01-21,present,15.0,Poor,2026-09-18 11:36:26.852843
STU00072,2024-01-13,excused,0.0,,2026-09-18 11:36:26.852843
STU00089,2024-01-05,excused,100.0,Excellent,2026-09-18 11:36:26.852843
STU00005,2024-01-01,late,0.0,,2026-09-18 11:36:26.852843
STU00075,2024-01-25,present,0.0,,2026-09-18 11:36:26.852843
STU00019,2024-01-25,late,0.0,,2026-09-18 11:36:26.852843
STU00056,2024-01-29,excused,100.0,Excellent,2026-09-18 11:36:26.852843
STU00040,2024-01-14,present,0.0,,2026-09-18 11:36:26.852843
STU00047,2024-01-08,excused,0.0,,2026-09-18 11:36:26.852843
STU00046,2024-01-26,excused,100.0,Excellent,2026-09-18 11:36:26.852843
STU00100,2024-01-08,present,0.0,,2026-09-18 11:36:26.852843
STU00053,2024-01-28,excused,0.0,,2026-09-18 11:36:26.852843
STU00031,2024-01-26,late,0.0,,2026-09-18 11:36:26.852843
STU00023,2024-01-22,excused,0.0,,2026-09-18 11:36:26.852843
STU00004,2024-01-18,present,100.0,Excellent,2026-09-18 11:36:26.852843
STU00090,2024-01-29,excused,97.0,Excellent,2026-09-18 11:36:26.852843
STU00049,2024-01-14,present,100.0,Excellent,2026-09-18 11:36:26.852843
STU00061,2024-01-30,late,41.0,Poor,2026-09-18 11:36:26.852843
STU00029,2024-01-18,excused,100.0,Excellent,2026-09-18 11:36:26.852843
STU00026,2024-01-15,excused,0.0,,2026-09-18 11:36:26.852843
STU00030,2024-01-28,excused,0.0,,2026-09-18 11:36:26.852843
STU00025,2024-01-25,absent,0.0,,2026-09-18 11:36:26.852843
STU00052,2024-01-08,late,100.0,Excellent,2026-09-18 11:36:26.852843
STU00066,2024-01-21,late,100.0,Excellent,2026-09-18 11:36:26.852843
STU00087,2024-01-09,late,0.0,,2026-09-18 11:36:26.852843
STU00077,2024-01-03,excused,100.0,Excellent,2026-09-18 11:36:26.852843
STU00094,2024-01-08,absent,0.0,,2026-09-18 11:36:26.852843
STU00050,2024-01-03,absent,100.0,Excellent,2026-09-18 11:36:26.852843
STU00074,2024-01-14,absent,0.0,,2026-09-18 11:36:26.852843
STU00067,2024-01-07,present,0.0,,2026-09-18 11:36:26.852843
STU00093,2024-01-13,present,0.0,,2026-09-18 11:36:26.852843
STU00016,2024-01-01,present,82.0,Good,2026-09-18 11:36:26.852843
STU00042,2024-01-29,present,14.0,Poor,2026-09-18 11:36:26.852843
STU00038,2024-01-14,present,0.0,,2026-09-18 11:36:26.852843
