student_id,course_id,course_name,grade,gpa,performance_level,ingestion_timestamp
STU00001,CHEM101,Chemistry,C,4.0,Excellent,2026-09-18 11:36:26.866352
STU00033,CHEM101,English,A,0.0,,2026-09-18 11:36:26.866352
STU00023,CS101,Data Structures,D,0.0,,2026-09-18 11:36:26.866352
STU00015,CHEM101,Data Structures,C,3.6541700232527465,Excellent,2026-09-18 11:36:26.866352
STU00004,ENG101,Data Structures,C,0.0,,2026-09-18 11:36:26.866352
STU00002,CS101,Data Structures,c,0.0,,2026-09-18 11:36:26.866352
STU00042,MATH201,English,D,4.0,Excellent,2026-09-18 11:36:26.866352
STU00034,CS101,English,C,0.0,,2026-09-18 11:36:26.866352
STU00095,CHEM101,Chemistry,c,0.0,,2026-09-18 11:36:26.866352
STU00068,PHYS101,Physics,B,3.1614922432309966,High,2026-09-18 11:36:26.866352
STU00096,CS102,Chemistry,D,0.0,,2026-09-18 11:36:26.866352
STU00061,ENG101,English,F,0.0,,2026-09-18 11:36:26.866352
STU00058,CS101,Chemistry,A,0.0,,2026-09-18 11:36:26.866352
STU00066,CHEM101,Calculus,c,4.0,Excellent,2026-09-18 11:36:26.866352
STU00014,PHYS101,Physics,c,4.0,Excellent,2026-09-18 11:36:26.866352
STU00065,PHYS101,Physics,F,0.0,,2026-09-18 11:36:26.866352
STU00029,MATH201,Physics,B,1.7304731459278997,Low,2026-09-18 11:36:26.866352
STU00006,MATH201,Calculus,F,0.0,,2026-09-18 11:36:26.866352
STU00094,MATH201,Calculus,C,0.0,,2026-09-18 11:36:26.866352
STU00067,MATH201,Programming,C,4.0,Excellent,2026-09-18 11:36:26.866352
STU00039,CHEM101,Calculus,B,4.0,Excellent,2026-09-18 11:36:26.866352
STU00062,CS102,Physics,A,4.0,Excellent,2026-09-18 11:36:26.866352
STU00052,CHEM101,Programming,B,3.370120016453556,High,2026-09-18 11:36:26.866352
STU00055,CS101,Programming,A,3.300945069306528,High,2026-09-18 11:36:26.866352
STU00092,PHYS101,English,D,4.0,Excellent,2026-09-18 11:36:26.866352
STU00010,PHYS101,Chemistry,B,0.0,,2026-09-18 11:36:26.866352
STU00011,PHYS101,Chemistry,A,1.1897354857189693,Low,2026-09-18 11:36:26.866352
STU00078,PHYS101,Physics,A,0.0,,2026-09-18 11:36:26.866352
STU00080,CS101,Programming,C,0.0,,2026-09-18 11:36:26.866352
STU00075,PHYS101,Chemistry,F,0.0,,2026-09-18 11:36:26.866352
STU00049,ENG101,Chemistry,C,0.0,,2026-09-18 11:36:26.866352
STU00038,CHEM101,Data Structures,A,0.0,,2026-09-18 11:36:26.866352
STU00056,CS102,Calculus,c,0.0,,2026-09-18 11:36:26.866352
STU00090,CHEM101,Programming,B,2.3333764479427064,Medium,2026-09-18 11:36:26.866352
STU00099,MATH201,Programming,F,0.0,,2026-09-18 11:36:26.866352
STU00093,CS102,English,A,0.0,,2026-09-18 11:36:26.866352
STU00044,PHYS101,Data Structures,C,3.301245271834454,High,2026-09-18 11:36:26.866352
STU00041,CHEM101,Calculus,F,2.0003116142825754,Medium,2026-09-18 11:36:26.866352
