student_id,date,status,attendance_percentage
STU00006,2024-01-16,PRESENT,150.0
STU00001,2024-01-20,Present,
STU00043,2024-01-28,ABSENT,
STU00099,2024-01-25,LATE,97.0
STU00017,2024-01-03,LATE,150.0
STU00082,2024-01-15,Absent,-10.0
STU00034,2024-01-14,PRESENT,
STU00021,2024-01-29,Absent,
STU00095,2024-01-21,PRESENT,15.0
STU00057,2024-01-19,ABSENT,-10.0
STU00071,2024-01-07,PRESENT,-10.0
STU00091,2024-01-23,Present,39.0
STU00055,2024-01-23,Late,
STU00072,2024-01-13,EXCUSED,-10.0
STU00002,2024-01-16,LATE,
STU00015,2024-01-13,Late,-10.0
STU00010,2024-01-08,PRESENT,150.0
STU00089,2024-01-05,EXCUSED,150.0
STU00020,2024-01-21,Late,
STU00070,2024-01-23,Present,-10.0
STU00005,2024-01-01,LATE,-10.0
STU00048,2024-01-29,Excused,-10.0
STU00075,2024-01-25,PRESENT,-10.0
STU00071,2024-01-28,LATE,150.0
STU00019,2024-01-25,Late,
STU00056,2024-01-29,Excused,150.0
STU00017,2024-01-04,present,150.0
STU00006,2024-01-25,LATE,150.0
STU00040,2024-01-14,present,
STU00047,2024-01-08,EXCUSED,
STU00006,2024-01-06,ABSENT,
STU00046,2024-01-26,EXCUSED,150.0
STU00027,2024-01-31,Excused,
STU00088,2024-01-23,Excused,150.0
STU00032,2024-01-17,LATE,-10.0
STU00086,2024-01-15,ABSENT,
STU00014,2024-01-02,Late,
STU00046,2024-01-18,Absent,150.0
STU00100,2024-01-08,PRESENT,
STU00072,2024-01-30,ABSENT,
STU00053,2024-01-28,Excused,-10.0
STU00080,2024-01-04,Absent,63.0
STU00096,2024-01-15,Excused,150.0
STU00020,2024-01-05,LATE,
STU00031,2024-01-26,Late,
STU00021,2024-01-15,Present,-10.0
STU00023,2024-01-22,Excused,-10.0
STU00053,2024-01-17,Late,
STU00004,2024-01-18,present,150.0
STU00023,2024-01-20,Excused,
STU00095,2024-01-11,Absent,83.0
STU00043,2024-01-31,Late,
STU00053,2024-01-25,ABSENT,
STU00086,2024-01-29,Late,69.0
STU00095,2024-01-15,ABSENT,79.0
STU00032,2024-01-20,ABSENT,150.0
STU00035,2024-01-27,EXCUSED,29.0
STU00021,2024-01-24,Present,55.0
STU00090,2024-01-29,EXCUSED,97.0
STU00014,2024-01-17,Absent,-10.0
STU00049,2024-01-14,PRESENT,150.0
STU00005,2024-01-27,Absent,3.0
STU00061,2024-01-30,LATE,41.0
STU00029,2024-01-18,Excused,150.0
STU00026,2024-01-15,EXCUSED,
STU00059,2024-01-29,Absent,-10.0
STU00045,2024-01-06,Excused,
STU00040,2024-01-24,Excused,-10.0
STU00030,2024-01-28,Excused,-10.0
STU00029,2024-01-16,Present,
STU00004,2024-01-15,PRESENT,-10.0
STU00085,2024-01-09,ABSENT,-10.0
STU00025,2024-01-25,Absent,
STU00052,2024-01-08,LATE,150.0
STU00043,2024-01-27,Absent,150.0
STU00036,2024-01-21,ABSENT,85.0
STU00009,2024-01-09,Late,150.0
STU00099,2024-01-25,Excused,-10.0
STU00036,2024-01-25,EXCUSED,
STU00045,2024-01-17,EXCUSED,150.0
STU00083,2024-01-16,Late,
STU00066,2024-01-21,LATE,150.0
STU00052,2024-01-08,EXCUSED,150.0
STU00087,2024-01-09,Late,
STU00069,2024-01-15,Late,61.0
STU00043,2024-01-03,Excused,
STU00004,2024-01-23,ABSENT,150.0
STU00015,2024-01-10,ABSENT,150.0
STU00034,2024-01-08,ABSENT,150.0
STU00023,2024-01-09,Absent,
STU00075,2024-01-11,PRESENT,35.0
STU00034,2024-01-11,Absent,72.0
STU00005,2024-01-29,Late,
STU00014,2024-01-18,PRESENT,-10.0
STU00077,2024-01-03,EXCUSED,150.0
STU00056,2024-01-05,present,-10.0
STU00045,2024-01-05,Absent,150.0
STU00094,2024-01-08,Absent,-10.0
STU00041,2024-01-13,Excused,80.0
STU00056,2024-01-23,ABSENT,80.0
STU00078,2024-01-05,EXCUSED,
STU00066,2024-01-23,ABSENT,150.0
STU00015,2024-01-07,PRESENT,-10.0
STU00050,2024-01-03,Absent,150.0
STU00074,2024-01-14,ABSENT,
STU00025,2024-01-14,Absent,-10.0
STU00033,2024-01-11,Late,150.0
STU00006,2024-01-18,present,150.0
STU00091,2024-01-15,ABSENT,150.0
STU00056,2024-01-14,Present,150.0
STU00001,2024-01-02,EXCUSED,150.0
STU00067,2024-01-07,present,
STU00069,2024-01-27,ABSENT,-10.0
STU00088,2024-01-14,Present,-10.0
STU00093,2024-01-13,Present,
STU00095,2024-01-29,EXCUSED,150.0
STU00095,2024-01-25,ABSENT,
STU00086,2024-01-19,present,150.0
STU00026,2024-01-31,Excused,68.0
STU00047,2024-01-23,PRESENT,150.0
STU00056,2024-01-01,Present,150.0
STU00009,2024-01-28,ABSENT,
STU00086,2024-01-29,Excused,150.0
STU00043,2024-01-25,Excused,-10.0
STU00080,2024-01-19,Excused,60.0
STU00041,2024-01-13,Late,150.0
STU00085,2024-01-16,present,-10.0
STU00016,2024-01-01,Present,82.0
STU00093,2024-01-31,ABSENT,
STU00039,2024-01-12,Excused,150.0
STU00065,2024-01-10,PRESENT,
STU00040,2024-01-25,PRESENT,-10.0
STU00086,2024-01-13,LATE,5.0
STU00053,2024-01-28,Excused,
STU00042,2024-01-29,PRESENT,14.0
STU00052,2024-01-31,Present,-10.0
STU00090,2024-01-27,present,
STU00038,2024-01-14,present,
STU00071,2024-01-18,ABSENT,-10.0
STU00083,2024-01-05,EXCUSED,-10.0
STU00039,2024-01-07,Absent,
STU00059,2024-01-14,Excused,-10.0
STU00041,2024-01-22,Absent,
STU00097,2024-01-31,ABSENT,
STU00010,2024-01-13,LATE,
STU00002,2024-01-22,Excused,39.0
STU00059,2024-01-24,Present,78.0
STU00080,2024-01-29,LATE,-10.0
STU00073,2024-01-06,Late,-10.0
